상품ID,원본URL,순위,분류,브랜드,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
7198514245,https://www.coupang.com/vp/products/7198514245?itemId=18190332759&vendorItemId=85339105211&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=2&rank=2,3,반찬,곰곰,"곰곰 광천 들기름 도시락김, 4g, 32개",28.0,8590,128,6710,"19,180",4.77
328377858,https://www.coupang.com/vp/products/328377858?itemId=1050333296&vendorItemId=5516350549&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=4&rank=4,5,반찬,곰곰,"곰곰 김자반, 50g, 2개",30.0,4190,100,4190,"48,326",4.76
344626910,https://www.coupang.com/vp/products/344626910?itemId=1094728887&vendorItemId=5613508567&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=7&rank=7,8,반찬,곰곰,"곰곰 국내산 썰은 배추 김치, 1kg, 1개",34.0,7900,1000,790,"56,825",4.61
5359904606,https://www.coupang.com/vp/products/5359904606?itemId=7905247381&vendorItemId=75194589204&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=10&rank=10,11,반찬,곰곰,"곰곰 김자반 (대용량), 500g, 1개",,12350,500,2470,"14,556",4.79
344626827,https://www.coupang.com/vp/products/344626827?itemId=6464613165&vendorItemId=73759038939&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=11&rank=11,12,반찬,곰곰,"곰곰 국내산 포기 김치, 2kg, 1개",20.0,13490,1999,675,"45,879",4.65
1650349138,https://www.coupang.com/vp/products/1650349138?itemId=2811751972&vendorItemId=70388827956&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=12&rank=12,13,반찬,곰곰,"곰곰 메추리알 장조림, 1kg, 1개",,7530,1004,750,"56,912",4.73
5158793792,https://www.coupang.com/vp/products/5158793792?itemId=23050273807&vendorItemId=90083965004&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=19&rank=19,20,반찬,곰곰,"곰곰 꼬들꼬들한 단무지, 1kg, 1개",,5770,1000,577,"11,058",4.74
8121211077,https://www.coupang.com/vp/products/8121211077?itemId=23036524652&vendorItemId=90070261512&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=20&rank=20,21,반찬,곰곰,"곰곰 순한 사과 백김치, 300g, 1개",43.0,2810,300,937,"1,976",4.72
1123258203,https://www.coupang.com/vp/products/1123258203?itemId=2089205797&vendorItemId=70088181379&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=22&rank=22,23,반찬,곰곰,"곰곰 꽈리고추 메추리알 장조림, 1kg, 1개",7.0,8200,1000,820,"28,778",4.55
1519268482,https://www.coupang.com/vp/products/1519268482?itemId=2606994252&vendorItemId=70598117085&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=24&rank=24,25,반찬,곰곰,"곰곰 꽈리고추가 들어간 메추리알 장조림 (냉장), 1kg, 1개",,8360,1000,836,"17,762",4.69
344627049,https://www.coupang.com/vp/products/344627049?itemId=1094729644&vendorItemId=5613509487&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=25&rank=25,26,반찬,곰곰,"곰곰 국내산 열무 김치, 1kg, 1개",23.0,9300,1000,930,"27,524",4.59
344626877,https://www.coupang.com/vp/products/344626877?itemId=1094728702&vendorItemId=5613508320&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=26&rank=26,27,반찬,곰곰,"곰곰 국내산 총각 김치, 1.5kg, 1개",,11700,1500,780,"35,115",4.59
1601980365,https://www.coupang.com/vp/products/1601980365?itemId=20695314813&vendorItemId=87766801463&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=27&rank=27,28,반찬,곰곰,"곰곰 소고기 장조림, 125g, 2개",,6140,250,2460,"21,037",4.61
1702682301,https://www.coupang.com/vp/products/1702682301?itemId=24935762561&vendorItemId=91941848573&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=30&rank=30,31,반찬,곰곰,"곰곰 국내산 파김치, 1kg, 1개",24.0,16240,1000,1624,"17,907",4.59
1332922799,https://www.coupang.com/vp/products/1332922799?itemId=2357759228&vendorItemId=70354192235&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=31&rank=31,32,반찬,곰곰,"곰곰 매콤 달콤 무말랭이 무침, 1kg, 1개",,5390,998,540,"33,817",4.6
7610333238,https://www.coupang.com/vp/products/7610333238?itemId=20154049236&vendorItemId=87246920708&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=32&rank=32,33,반찬,곰곰,"곰곰 오이소박이, 500g, 1개",12.0,8790,500,1758,"4,882",4.6
7643653952,https://www.coupang.com/vp/products/7643653952?itemId=20317788127&vendorItemId=87403285098&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=33&rank=33,34,반찬,곰곰,"곰곰 통 오이지, 300g, 1개",,3070,301,1020,"5,865",4.68
186399465,https://www.coupang.com/vp/products/186399465?itemId=532932055&vendorItemId=4388765366&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=34&rank=34,35,반찬,곰곰,"곰곰 광천김 전장, 25g, 10개",1.0,14840,250,5940,"18,864",4.62
1601688137,https://www.coupang.com/vp/products/1601688137?itemId=2735751628&vendorItemId=70725851234&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=36&rank=36,36,반찬,곰곰,"곰곰 국내산 백김치, 1kg, 1개",,7490,1000,749,"6,985",4.57
8449304957,https://www.coupang.com/vp/products/8449304957?itemId=24443843514&vendorItemId=91457792889&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=8265d3b1743825&sourceType=search&itemsCount=36&searchRank=38&rank=38,38,반찬,곰곰,"곰곰 국내산 오이소박이, 800g, 1개",,11560,800,1445,856,4.5
