상품ID,컬리상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
12579241531,1001703856,kurly's,9,정육·가공육·달걀,[Kurly's] 1등급 동물복지 목초 유정란 15구,10,8091,15.0,485460.0,1049.0,4.81
12274344756,5027758,kurly's,10,정육·가공육·달걀,[Kurly's] 깐 메추리 유정란 270g,0,4190,270.0,1552.0,464.0,4.88
12274354103,5041764,kurly's,11,정육·가공육·달걀,[Kurly's] 동물복지 반숙란 6구,0,4700,6.0,78333.0,359.0,4.82
12274373440,5054960,kurly's,12,정육·가공육·달걀,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12274373440,5054960,kurly's,12,정육·가공육·달걀,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12274373440,5054960,kurly's,12,정육·가공육·달걀,"[Kurly's] 간편하게 바삭, 통등심 돈까스",12,5700,270.0,23222.0,223.0,4.85
12844358168,5093929,kurly's,13,정육·가공육·달걀,[Kurly's] 한돈 삼겹 베이컨,11,4800,100.0,48000.0,467.0,4.89
12844358168,5093929,kurly's,13,정육·가공육·달걀,[Kurly's] 한돈 삼겹 베이컨,11,4800,100.0,48000.0,467.0,4.89
12274562713,1001365220,kurly's,14,정육·가공육·달걀,[Kurly's] 유기농 동물복지 유정란 10구,10,8900,520.0,15404.0,13685.0,4.87
12275472500,5093936,kurly's,15,정육·가공육·달걀,[Kurly's] 동물복지 유정란 30구 (15구*2ea),0,15150,30.0,50500.0,1533.0,4.82
12274348780,5034943,kurly's,16,정육·가공육·달걀,[Kurly's] 동물복지 백색 유정란 10구,0,6000,10.0,60000.0,575.0,4.84
12275462136,5004951,kurly's,17,정육·가공육·달걀,[Kurly's] 동물복지 유정란 10구,0,5990,10.0,59900.0,1847.0,4.83
12275472500,5029849,kurly's,18,정육·가공육·달걀,[Kurly's] 동물복지 유정란 15구,0,8490,15.0,56600.0,1533.0,4.82
12274367010,5051888,kurly's,19,정육·가공육·달걀,[Kurly's] 동물복지 구운란 20구,0,13000,20.0,65000.0,145.0,4.83
12274681314,1000459585,kurly's,20,정육·가공육·달걀,[Kurly's] 동물복지 닭 다리살 500g,5,12255,500.0,9804.0,2667.0,4.87
12274562713,1001365218,kurly's,21,정육·가공육·달걀,[Kurly's] 동물복지 유정란 40구,11,17200,40.0,430000.0,13685.0,4.87
12274608984,1000433113,kurly's,22,정육·가공육·달걀,[Kurly's] 1++ 한우 불고기 250g (냉장),20,14880,250.0,113088.0,61.0,4.66
12579228401,5038290,kurly's,23,정육·가공육·달걀,[Kurly's] 동물복지 백색 유정란 15구,0,8290,15.0,55267.0,1034.0,4.82
12274681314,1000459672,kurly's,24,정육·가공육·달걀,[Kurly's] 동물복지 닭 볶음탕용 1kg,5,10440,,,2667.0,4.87
12274379010,5059087,kurly's,25,정육·가공육·달걀,[Kurly's] 한돈 떡갈비 (120g*2입),20,4700,240.0,37208.0,242.0,4.83
12274681314,1000459674,kurly's,26,정육·가공육·달걀,[Kurly's] 동물복지 생 닭 1050g,5,10440,1050.0,3977.0,2667.0,4.87
12579228401,1001703861,kurly's,27,정육·가공육·달걀,[Kurly's] 1등급 동물복지 목초 백색 유정란 15구,10,8091,15.0,485460.0,1034.0,4.82
12275411947,1001417878,kurly's,28,정육·가공육·달걀,"[골라담기] Kurly's 1++ 한우 7종, 택1",25,33700,250.0,323520.0,401.0,4.8
12274681314,1000459587,kurly's,29,정육·가공육·달걀,[Kurly's] 동물복지 닭 다리 (북채) 500g,5,9405,500.0,7524.0,2667.0,4.87
12273071106,5041773,kurly's,30,정육·가공육·달걀,[Kurly's] 동물복지 반숙란 20구,0,13000,20.0,65000.0,187.0,4.87
12274681314,1000459595,kurly's,31,정육·가공육·달걀,[Kurly's] 동물복지 닭 가슴살 500g,5,9490,500.0,7592.0,2667.0,4.87
12274607362,1000433117,kurly's,32,정육·가공육·달걀,[Kurly's] 1++ 한우 양지 250g (냉장),11,22150,250.0,88600.0,74.0,4.61
12274607362,1000433119,kurly's,33,정육·가공육·달걀,[Kurly's] 1++ 한우 양지 절단국거리 250g (냉장),11,22150,250.0,88600.0,74.0,4.61
12275335043,1000433103,kurly's,34,정육·가공육·달걀,[Kurly's] 1++ 한우 등심 250g (냉장),25,33700,250.0,323520.0,15.0,4.67
12274681314,1000459593,kurly's,35,정육·가공육·달걀,[Kurly's] 동물복지 닭 안심살 500g,5,10355,500.0,8284.0,2667.0,4.87
12274681314,1000459589,kurly's,36,정육·가공육·달걀,[Kurly's] 동물복지 닭 윗날개 (봉) 500g,5,12017,500.0,9614.0,2667.0,4.87
13170929063,1001995045,kurly's,37,정육·가공육·달걀,[Kurly's] 동물복지 유정 왕란 15구,0,8790,15.0,58600.0,52.0,4.79
12274681314,1000459591,kurly's,38,정육·가공육·달걀,[Kurly's] 동물복지 닭 아랫날개 (윙) 500g,5,12255,500.0,9804.0,2667.0,4.87
12275388986,1000433109,kurly's,39,정육·가공육·달걀,[Kurly's] 1++ 한우 안심 스테이크 250g (냉장),12,49900,250.0,219560.0,5.0,5.0
12275371554,1000433107,kurly's,40,정육·가공육·달걀,[Kurly's] 1++ 한우 채끝 250g (냉장),16,44300,250.0,265800.0,0.0,0.0
12274608175,1000433111,kurly's,41,정육·가공육·달걀,[Kurly's] 1++ 한우 안심 구이 250g (냉장),12,49900,250.0,219560.0,4.0,4.75
12274626208,1000630175,kurly's,42,정육·가공육·달걀,[Kurly's] 1++ 한우 치마살 구이용 250g (냉장),32,51360,250.0,636864.0,2.0,5.0
12275361482,1000433105,kurly's,43,정육·가공육·달걀,[Kurly's] 1++ 한우 큐브 등심 250g (냉장),25,33700,250.0,323520.0,1.0,5.0
12275377163,1000630179,kurly's,44,정육·가공육·달걀,[Kurly's] 1++ 한우 갈비살 구이용 250g (냉장),15,46000,250.0,257600.0,1.0,5.0
12275377163,1000630177,kurly's,45,정육·가공육·달걀,[Kurly's] 1++ 한우 꽃갈비살 구이용 250g (냉장),32,55200,250.0,684480.0,1.0,5.0
12274626023,1000630173,kurly's,46,정육·가공육·달걀,[Kurly's] 1++ 한우 토시살 구이용 250g (냉장),15,74200,250.0,415520.0,0.0,0.0
12274627611,1000630171,kurly's,47,정육·가공육·달걀,[Kurly's] 1++ 한우 안창살 구이용 250g (냉장),15,74600,250.0,417760.0,0.0,0.0
